crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
,,,0.0,0.489,6.405,73.9,3.0921,,270.0,17.8,393.55,8.2,22.0
0.05497,,5.19,,,,45.4,4.8122,5.0,224.0,20.2,396.9,9.74,19.0
14.3337,0.0,18.1,,,6.229,88.0,1.9512,24.0,666.0,20.2,383.32,,21.4
0.0536,21.0,,,0.439,6.511,21.1,6.8147,4.0,,16.8,,5.28,25.0
0.03113,,,,,6.014,48.5,8.0136,3.0,352.0,18.8,385.64,10.53,17.5
,,3.97,0.0,0.647,7.206,91.6,1.9301,5.0,264.0,13.0,,,36.5
,,,,,6.095,65.1,,,,16.6,394.62,,20.1
0.62976,,8.14,0.0,,,,,,307.0,21.0,396.9,8.26,20.4
,0.0,,,0.544,,77.7,3.945,4.0,,18.4,396.42,,16.2
,0.0,3.41,,0.489,7.007,,3.4217,2.0,,17.8,,5.5,23.6
,0.0,,0.0,0.7,,89.5,1.5184,24.0,666.0,,396.9,31.99,7.4
,20.0,6.96,1.0,0.464,,,4.3665,,223.0,18.6,,,35.2
2.01019,0.0,19.58,,0.605,7.929,96.2,,5.0,403.0,,369.3,,50.0
,0.0,,,0.46,,,,4.0,,16.9,,,19.3
,0.0,,0.0,0.585,6.019,65.3,2.4091,6.0,,19.2,396.9,12.92,21.2
0.97617,0.0,21.89,0.0,0.624,5.757,,2.346,,437.0,21.2,262.76,17.31,15.6
,33.0,2.18,,,,71.9,3.0992,,,18.4,396.9,6.47,33.4
,0.0,18.1,0.0,0.583,6.114,,3.5459,,,20.2,,14.98,19.1
0.47547,0.0,,,0.544,6.113,58.8,4.0019,4.0,,18.4,,12.73,21.0
0.12757,30.0,4.93,0.0,0.428,6.393,7.8,7.0355,6.0,,,374.71,,23.7
0.0136,,,,,,,,3.0,,21.1,,,18.9
4.22239,,18.1,,0.77,5.803,,,,666.0,,,,16.8
0.08873,21.0,,,0.439,5.963,45.7,,4.0,243.0,,395.56,13.45,19.7
3.69311,0.0,18.1,,0.713,6.376,,,,,,391.43,14.65,17.7
0.08447,0.0,,0.0,0.51,5.859,,2.7019,,296.0,16.6,393.23,,22.6
,,18.1,0.0,0.74,,,,24.0,666.0,20.2,43.06,,11.8
0.0837,45.0,3.44,0.0,,,38.9,,5.0,398.0,,396.9,5.39,34.9
,0.0,,,,6.12,,2.2875,1.0,273.0,21.0,396.9,9.08,20.6
5.82115,0.0,,0.0,0.713,,89.9,2.8016,24.0,,20.2,,10.29,20.2
0.07875,,3.44,0.0,0.437,6.782,41.1,,,,15.2,393.87,6.68,32.0
2.44953,,,0.0,0.605,,95.2,,5.0,403.0,,,,22.3
,,5.13,0.0,,,,,8.0,284.0,19.7,,6.86,23.3
0.25387,0.0,,,0.448,,95.3,5.87,,,17.9,396.9,,14.4
0.03049,55.0,3.78,0.0,0.484,6.874,,,5.0,370.0,17.6,,4.61,31.2
,0.0,6.2,0.0,,,61.5,,8.0,,,376.75,,24.0
,,5.86,0.0,0.431,6.957,6.8,,,330.0,19.1,,,29.6
0.85204,,,0.0,0.538,5.965,89.2,,,307.0,,,13.83,19.6
,0.0,,,,,82.8,3.2628,4.0,,,,,21.6
6.80117,0.0,,0.0,0.713,6.081,84.4,2.7175,,666.0,20.2,,,20.0
,,,1.0,0.605,6.25,92.6,1.7984,,403.0,,338.92,5.5,27.0
,40.0,,1.0,,7.267,,4.7872,,,,,6.05,33.2
9.96654,0.0,,0.0,0.74,,100.0,1.9784,,666.0,20.2,,,15.4
,45.0,3.44,0.0,,6.739,30.8,6.4798,5.0,,,,,30.5
,,18.1,0.0,0.7,,,,24.0,,20.2,396.9,,7.2
0.08265,,13.92,,0.437,6.127,18.4,5.5027,4.0,,,396.9,8.58,23.9
,,18.1,0.0,0.597,5.155,100.0,1.5894,,666.0,20.2,210.97,20.08,16.3
0.02543,55.0,,0.0,,6.696,,,5.0,,,,,23.9
,20.0,,0.0,0.647,8.704,86.9,1.801,5.0,264.0,,389.7,5.12,50.0
0.49298,0.0,,,,6.635,82.5,,4.0,304.0,18.4,,,22.8
2.73397,0.0,,0.0,0.871,,,1.5257,5.0,403.0,,351.85,21.45,15.4
0.34006,0.0,,,0.624,6.458,,,4.0,437.0,21.2,395.04,12.6,19.2
,0.0,19.58,0.0,,5.404,,1.5916,,403.0,,341.6,13.28,19.6
,,,,0.77,,81.3,,24.0,666.0,20.2,390.74,12.67,22.6
0.0686,0.0,2.89,,,7.416,62.5,3.4952,,276.0,,396.9,,33.2
8.26725,,,,,5.875,,,24.0,,20.2,347.88,,50.0
0.07151,,4.49,0.0,,,,3.7476,3.0,247.0,18.5,395.15,8.44,22.2
7.75223,,18.1,0.0,,6.301,83.7,,24.0,666.0,20.2,272.21,,14.9
,,,,,,32.2,5.8736,4.0,430.0,,368.57,9.09,19.8
0.28955,0.0,10.59,,0.489,5.412,9.8,3.5875,4.0,,,,29.55,23.7
,0.0,18.1,0.0,0.655,5.952,84.7,2.8715,24.0,,20.2,22.01,17.15,19.0
0.07165,0.0,25.65,0.0,0.581,6.004,,2.1974,2.0,188.0,19.1,,14.27,20.3
0.04741,0.0,,0.0,0.573,6.03,80.8,2.505,,273.0,21.0,396.9,,11.9
1.25179,,,0.0,0.538,5.57,98.1,3.7979,4.0,307.0,21.0,376.57,21.02,13.6
0.12579,45.0,,0.0,0.437,,29.1,,,,,,4.56,29.8
0.15876,,,,0.413,,,,,,,,,21.7
,,8.56,0.0,0.52,,91.9,,5.0,,20.9,,,19.5
0.29916,20.0,,,0.464,,42.1,4.429,3.0,,18.6,,,21.1
0.01501,,,,0.435,6.635,29.7,8.344,4.0,,17.0,390.94,5.99,24.5
11.1604,0.0,18.1,,0.74,6.629,94.6,,24.0,,20.2,109.85,23.27,13.4
,0.0,,,0.52,,85.4,,,,,,,18.6
